,CodigoDistribuidor,Mes,CodigoFecha,Ventas,Ventas_acumuladas,Ventas_last_1,Ventas_acumuladas_last_1,Ventas_last_2,Ventas_acumuladas_last_2,Ventas_last_3,Ventas_acumuladas_last_3,Ventas_last_4,Ventas_acumuladas_last_4,Ventas_last_5,Ventas_acumuladas_last_5,Ventas_last_6,Ventas_acumuladas_last_6,Ventas_last_7,Ventas_acumuladas_last_7,Day
3826,CHINCHA.01.67882,6,2020-06-10,18853.5706,217295.2694,19162.8491,198441.69879999998,16212.017,179278.8497,16038.4132,163066.8327,36149.9895,147028.4195,29988.9577,110878.43,63638.8805,80889.4723,11377.7752,17250.591800000002,10
3827,CHINCHA.01.67882,6,2020-06-11,17753.6599,235048.9293,18853.5706,217295.2694,19162.8491,198441.69879999998,16212.017,179278.8497,16038.4132,163066.8327,36149.9895,147028.4195,29988.9577,110878.43,63638.8805,80889.4723,11
3828,CHINCHA.01.67882,6,2020-06-12,22024.8196,257073.74889999998,17753.6599,235048.9293,18853.5706,217295.2694,19162.8491,198441.69879999998,16212.017,179278.8497,16038.4132,163066.8327,36149.9895,147028.4195,29988.9577,110878.43,12
3829,CHINCHA.01.67882,6,2020-06-13,21698.6789,278772.42779999995,22024.8196,257073.74889999998,17753.6599,235048.9293,18853.5706,217295.2694,19162.8491,198441.69879999998,16212.017,179278.8497,16038.4132,163066.8327,36149.9895,147028.4195,13
3830,CHINCHA.01.67882,6,2020-06-15,17348.0212,296120.44899999996,21698.6789,278772.42779999995,22024.8196,257073.74889999998,17753.6599,235048.9293,18853.5706,217295.2694,19162.8491,198441.69879999998,16212.017,179278.8497,16038.4132,163066.8327,15
3831,CHINCHA.01.67882,6,2020-06-16,21640.24,317760.68899999995,17348.0212,296120.44899999996,21698.6789,278772.42779999995,22024.8196,257073.74889999998,17753.6599,235048.9293,18853.5706,217295.2694,19162.8491,198441.69879999998,16212.017,179278.8497,16
3832,CHINCHA.01.67882,6,2020-06-17,11834.3671,329595.0560999999,21640.24,317760.68899999995,17348.0212,296120.44899999996,21698.6789,278772.42779999995,22024.8196,257073.74889999998,17753.6599,235048.9293,18853.5706,217295.2694,19162.8491,198441.69879999998,17
3833,CHINCHA.01.67882,6,2020-06-18,14642.9273,344237.9833999999,11834.3671,329595.0560999999,21640.24,317760.68899999995,17348.0212,296120.44899999996,21698.6789,278772.42779999995,22024.8196,257073.74889999998,17753.6599,235048.9293,18853.5706,217295.2694,18
3834,CHINCHA.01.67882,6,2020-06-19,13642.9902,357880.9735999999,14642.9273,344237.9833999999,11834.3671,329595.0560999999,21640.24,317760.68899999995,17348.0212,296120.44899999996,21698.6789,278772.42779999995,22024.8196,257073.74889999998,17753.6599,235048.9293,19
3835,CHINCHA.01.67882,6,2020-06-20,17436.3756,375317.34919999994,13642.9902,357880.9735999999,14642.9273,344237.9833999999,11834.3671,329595.0560999999,21640.24,317760.68899999995,17348.0212,296120.44899999996,21698.6789,278772.42779999995,22024.8196,257073.74889999998,20
